
第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",
近畿,京都府,32 ,29 ,3 ,10.3 ,30 ,24 ,6 ,25.0 ,35 ,25 ,10 ,40.0 ,93.8 ,82.8 ,11.0 
近畿,大阪府,154 ,152 ,2 ,1.3 ,122 ,138 ,-16 ,-11.6 ,120 ,137 ,-17 ,-12.4 ,79.2 ,90.8 ,-11.6 
近畿,兵庫県,89 ,63 ,26 ,41.3 ,78 ,75 ,3 ,4.0 ,76 ,80 ,-4 ,-5.0 ,87.6 ,119.0 ,-31.4 
近畿,奈良県,13 ,20 ,-7 ,-35.0 ,16 ,19 ,-3 ,-15.8 ,13 ,18 ,-5 ,-27.8 ,123.1 ,95.0 ,28.1 
近畿,和歌山県,9 ,3 ,6 ,200.0 ,8 ,4 ,4 ,100.0 ,5 ,4 ,1 ,25.0 ,88.9 ,133.3 ,-44.4 
中国,計,71 ,61 ,10 ,16.4 ,75 ,58 ,17 ,29.3 ,70 ,44 ,26 ,59.1 ,105.6 ,95.1 ,10.5 
中国,鳥取県,6 ,5 ,1 ,20.0 ,7 ,4 ,3 ,75.0 ,9 ,2 ,7 ,350.0 ,116.7 ,80.0 ,36.7 
中国,島根県,5 ,2 ,3 ,150.0 ,5 ,2 ,3 ,150.0 ,4 ,2 ,2 ,100.0 ,100.0 ,100.0 ,0.0 
中国,岡山県,23 ,16 ,7 ,43.8 ,25 ,16 ,9 ,56.3 ,24 ,12 ,12 ,100.0 ,108.7 ,100.0 ,8.7 
中国,広島県,33 ,28 ,5 ,17.9 ,34 ,26 ,8 ,30.8 ,28 ,21 ,7 ,33.3 ,103.0 ,92.9 ,10.1 
中国,山口県,4 ,10 ,-6 ,-60.0 ,4 ,10 ,-6 ,-60.0 ,5 ,7 ,-2 ,-28.6 ,100.0 ,100.0 ,0.0 
四国,計,37 ,34 ,3 ,8.8 ,38 ,32 ,6 ,18.8 ,31 ,28 ,3 ,10.7 ,102.7 ,94.1 ,8.6 
四国,徳島県,4 ,8 ,-4 ,-50.0 ,5 ,7 ,-2 ,-28.6 ,3 ,5 ,-2 ,-40.0 ,125.0 ,87.5 ,37.5 
四国,香川県,16 ,15 ,1 ,6.7 ,17 ,14 ,3 ,21.4 ,13 ,14 ,-1 ,-7.1 ,106.3 ,93.3 ,13.0 
四国,愛媛県,15 ,8 ,7 ,87.5 ,14 ,8 ,6 ,75.0 ,13 ,5 ,8 ,160.0 ,93.3 ,100.0 ,-6.7 
四国,高知県,2 ,3 ,-1 ,-33.3 ,2 ,3 ,-1 ,-33.3 ,2 ,4 ,-2 ,-50.0 ,100.0 ,100.0 ,0.0 
九州,計,138 ,131 ,7 ,5.3 ,127 ,121 ,6 ,5.0 ,124 ,110 ,14 ,12.7 ,92.0 ,92.4 ,-0.4 
九州,福岡県,60 ,55 ,5 ,9.1 ,55 ,48 ,7 ,14.6 ,53 ,43 ,10 ,23.3 ,91.7 ,87.3 ,4.4 
九州,佐賀県,10 ,5 ,5 ,100.0 ,7 ,5 ,2 ,40.0 ,6 ,4 ,2 ,50.0 ,70.0 ,100.0 ,-30.0 
九州,長崎県,4 ,7 ,-3 ,-42.9 ,6 ,4 ,2 ,50.0 ,5 ,4 ,1 ,25.0 ,150.0 ,57.1 ,92.9 
九州,熊本県,25 ,18 ,7 ,38.9 ,24 ,15 ,9 ,60.0 ,18 ,13 ,5 ,38.5 ,96.0 ,83.3 ,12.7 
九州,大分県,9 ,10 ,-1 ,-10.0 ,9 ,12 ,-3 ,-25.0 ,10 ,11 ,-1 ,-9.1 ,100.0 ,120.0 ,-20.0 
九州,宮崎県,8 ,8 ,0 ,0.0 ,8 ,8 ,0 ,0.0 ,7 ,5 ,2 ,40.0 ,100.0 ,100.0 ,0.0 
九州,鹿児島県,10 ,11 ,-1 ,-9.1 ,8 ,10 ,-2 ,-20.0 ,8 ,10 ,-2 ,-20.0 ,80.0 ,90.9 ,-10.9 
九州,沖縄県,12 ,17 ,-5 ,-29.4 ,10 ,19 ,-9 ,-47.4 ,17 ,20 ,-3 ,-15.0 ,83.3 ,111.8 ,-28.5 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較 （略取誘拐・人身売買）,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率
,都道府県,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％）,"2021年
1～12月","2020年
1～12月",増減ポイント
総数,,389 ,337 ,52 ,15.4 ,365 ,335 ,30 ,9.0 ,376 ,266 ,110 ,41.4 ,93.8 ,99.4 ,-5.6 
北海道,計,10 ,17 ,-7 ,-41.2 ,10 ,17 ,-7 ,-41.2 ,16 ,17 ,-1 ,-5.9 ,100.0 ,100.0 ,0.0 
北海道,札幌方面,7 ,12 ,-5 ,-41.7 ,7 ,11 ,-4 ,-36.4 ,13 ,10 ,3 ,30.0 ,100.0 ,91.7 ,8.3 
北海道,函館方面,2 ,0 ,2 ,0.0 ,2 ,1 ,1 ,100.0 ,2 ,1 ,1 ,100.0 ,100.0 ,0.0 ,100.0 
北海道,旭川方面,0 ,2 ,-2 ,-100.0 ,0 ,2 ,-2 ,-100.0 ,0 ,3 ,-3 ,-100.0 ,0.0 ,100.0 ,-100.0 
北海道,釧路方面,1 ,2 ,-1 ,-50.0 ,1 ,2 ,-1 ,-50.0 ,1 ,2 ,-1 ,-50.0 ,100.0 ,100.0 ,0.0 
北海道,北見方面,0 ,1 ,-1 ,-100.0 ,0 ,1 ,-1 ,-100.0 ,0 ,1 ,-1 ,-100.0 ,0.0 ,100.0 ,-100.0 
東北,計,19 ,12 ,7 ,58.3 ,20 ,14 ,6 ,42.9 ,21 ,11 ,10 ,90.9 ,105.3 ,116.7 ,-11.4 
東北,青森県,3 ,2 ,1 ,50.0 ,4 ,1 ,3 ,300.0 ,4 ,2 ,2 ,100.0 ,133.3 ,50.0 ,83.3 
東北,岩手県,2 ,0 ,2 ,0.0 ,2 ,0 ,2 ,0.0 ,1 ,0 ,1 ,0.0 ,100.0 ,0.0 ,100.0 
東北,宮城県,8 ,3 ,5 ,166.7 ,8 ,5 ,3 ,60.0 ,10 ,4 ,6 ,150.0 ,100.0 ,166.7 ,-66.7 
東北,秋田県,1 ,0 ,1 ,0.0 ,1 ,0 ,1 ,0.0 ,0 ,0 ,0 ,0.0 ,100.0 ,0.0 ,100.0 
東北,山形県,4 ,5 ,-1 ,-20.0 ,4 ,5 ,-1 ,-20.0 ,4 ,4 ,0 ,0.0 ,100.0 ,100.0 ,0.0 
東北,福島県,1 ,2 ,-1 ,-50.0 ,1 ,3 ,-2 ,-66.7 ,2 ,1 ,1 ,100.0 ,100.0 ,150.0 ,-50.0 
東京都,,48 ,36 ,12 ,33.3 ,50 ,35 ,15 ,42.9 ,35 ,25 ,10 ,40.0 ,104.2 ,97.2 ,7.0 
関東,計,112 ,97 ,15 ,15.5 ,108 ,99 ,9 ,9.1 ,115 ,76 ,39 ,51.3 ,96.4 ,102.1 ,-5.7 
関東,茨城県,2 ,4 ,-2 ,-50.0 ,2 ,5 ,-3 ,-60.0 ,1 ,3 ,-2 ,-66.7 ,100.0 ,125.0 ,-25.0 
関東,栃木県,5 ,2 ,3 ,150.0 ,5 ,2 ,3 ,150.0 ,15 ,1 ,14 ,1400.0 ,100.0 ,100.0 ,0.0 
関東,群馬県,6 ,7 ,-1 ,-14.3 ,6 ,7 ,-1 ,-14.3 ,5 ,5 ,0 ,0.0 ,100.0 ,100.0 ,0.0 
関東,埼玉県,46 ,42 ,4 ,9.5 ,45 ,42 ,3 ,7.1 ,43 ,36 ,7 ,19.4 ,97.8 ,100.0 ,-2.2 
関東,千葉県,14 ,12 ,2 ,16.7 ,14 ,11 ,3 ,27.3 ,8 ,8 ,0 ,0.0 ,100.0 ,91.7 ,8.3 
関東,神奈川県,12 ,3 ,9 ,300.0 ,8 ,6 ,2 ,33.3 ,7 ,5 ,2 ,40.0 ,66.7 ,200.0 ,-133.3 
関東,新潟県,6 ,6 ,0 ,0.0 ,8 ,5 ,3 ,60.0 ,4 ,4 ,0 ,0.0 ,133.3 ,83.3 ,50.0 
関東,山梨県,2 ,2 ,0 ,0.0 ,2 ,2 ,0 ,0.0 ,2 ,2 ,0 ,0.0 ,100.0 ,100.0 ,0.0 
関東,長野県,4 ,3 ,1 ,33.3 ,4 ,3 ,1 ,33.3 ,12 ,1 ,11 ,1100.0 ,100.0 ,100.0 ,0.0 
関東,静岡県,15 ,16 ,-1 ,-6.3 ,14 ,16 ,-2 ,-12.5 ,18 ,11 ,7 ,63.6 ,93.3 ,100.0 ,-6.7 
中部,計,37 ,44 ,-7 ,-15.9 ,35 ,43 ,-8 ,-18.6 ,33 ,40 ,-7 ,-17.5 ,94.6 ,97.7 ,-3.1 
中部,富山県,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 
中部,石川県,2 ,1 ,1 ,100.0 ,2 ,1 ,1 ,100.0 ,2 ,1 ,1 ,100.0 ,100.0 ,100.0 ,0.0 
中部,福井県,3 ,1 ,2 ,200.0 ,3 ,1 ,2 ,200.0 ,3 ,0 ,3 ,0.0 ,100.0 ,100.0 ,0.0 
中部,岐阜県,2 ,7 ,-5 ,-71.4 ,2 ,8 ,-6 ,-75.0 ,0 ,5 ,-5 ,-100.0 ,100.0 ,114.3 ,-14.3 
中部,愛知県,27 ,35 ,-8 ,-22.9 ,26 ,33 ,-7 ,-21.2 ,24 ,34 ,-10 ,-29.4 ,96.3 ,94.3 ,2.0 
中部,三重県,3 ,0 ,3 ,0.0 ,2 ,0 ,2 ,0.0 ,4 ,0 ,4 ,0.0 ,66.7 ,0.0 ,66.7 
近畿,計,100 ,77 ,23 ,29.9 ,83 ,74 ,9 ,12.2 ,94 ,62 ,32 ,51.6 ,83.0 ,96.1 ,-13.1 
近畿,滋賀県,6 ,2 ,4 ,200.0 ,5 ,4 ,1 ,25.0 ,15 ,2 ,13 ,650.0 ,83.3 ,200.0 ,-116.7 
近畿,京都府,4 ,2 ,2 ,100.0 ,4 ,2 ,2 ,100.0 ,7 ,1 ,6 ,600.0 ,100.0 ,100.0 ,0.0 
近畿,大阪府,39 ,37 ,2 ,5.4 ,25 ,34 ,-9 ,-26.5 ,32 ,29 ,3 ,10.3 ,64.1 ,91.9 ,-27.8 
近畿,兵庫県,44 ,28 ,16 ,57.1 ,42 ,26 ,16 ,61.5 ,32 ,19 ,13 ,68.4 ,95.5 ,92.9 ,2.6 
近畿,奈良県,6 ,7 ,-1 ,-14.3 ,6 ,7 ,-1 ,-14.3 ,8 ,10 ,-2 ,-20.0 ,100.0 ,100.0 ,0.0 
近畿,和歌山県,1 ,1 ,0 ,0.0 ,1 ,1 ,0 ,0.0 ,0 ,1 ,-1 ,-100.0 ,100.0 ,100.0 ,0.0 
中国,計,27 ,15 ,12 ,80.0 ,27 ,14 ,13 ,92.9 ,31 ,10 ,21 ,210.0 ,100.0 ,93.3 ,6.7 
中国,鳥取県,4 ,1 ,3 ,300.0 ,3 ,2 ,1 ,50.0 ,8 ,1 ,7 ,700.0 ,75.0 ,200.0 ,-125.0 
中国,島根県,0 ,2 ,-2 ,-100.0 ,2 ,0 ,2 ,0.0 ,1 ,0 ,1 ,0.0 ,0.0 ,0.0 ,0.0 
中国,岡山県,8 ,5 ,3 ,60.0 ,8 ,5 ,3 ,60.0 ,6 ,4 ,2 ,50.0 ,100.0 ,100.0 ,0.0 
中国,広島県,11 ,7 ,4 ,57.1 ,10 ,7 ,3 ,42.9 ,14 ,5 ,9 ,180.0 ,90.9 ,100.0 ,-9.1 
中国,山口県,4 ,0 ,4 ,0.0 ,4 ,0 ,4 ,0.0 ,2 ,0 ,2 ,0.0 ,100.0 ,0.0 ,100.0 
四国,計,5 ,10 ,-5 ,-50.0 ,6 ,9 ,-3 ,-33.3 ,7 ,5 ,2 ,40.0 ,120.0 ,90.0 ,30.0 
四国,徳島県,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,0.0 ,0.0 
四国,香川県,4 ,5 ,-1 ,-20.0 ,4 ,5 ,-1 ,-20.0 ,6 ,4 ,2 ,50.0 ,100.0 ,100.0 ,0.0 
四国,愛媛県,1 ,3 ,-2 ,-66.7 ,1 ,3 ,-2 ,-66.7 ,1 ,1 ,0 ,0.0 ,100.0 ,100.0 ,0.0 
四国,高知県,0 ,2 ,-2 ,-100.0 ,1 ,1 ,0 ,0.0 ,0 ,0 ,0 ,0.0 ,0.0 ,50.0 ,-50.0 
九州,計,31 ,29 ,2 ,6.9 ,26 ,30 ,-4 ,-13.3 ,24 ,20 ,4 ,20.0 ,83.9 ,103.4 ,-19.5 
九州,福岡県,17 ,14 ,3 ,21.4 ,14 ,14 ,0 ,0.0 ,13 ,7 ,6 ,85.7 ,82.4 ,100.0 ,-17.6 
九州,佐賀県,0 ,3 ,-3 ,-100.0 ,0 ,3 ,-3 ,-100.0 ,0 ,3 ,-3 ,-100.0 ,0.0 ,100.0 ,-100.0 
九州,長崎県,4 ,1 ,3 ,300.0 ,4 ,1 ,3 ,300.0 ,3 ,1 ,2 ,200.0 ,100.0 ,100.0 ,0.0 
九州,熊本県,3 ,3 ,0 ,0.0 ,3 ,3 ,0 ,0.0 ,3 ,3 ,0 ,0.0 ,100.0 ,100.0 ,0.0 
九州,大分県,0 ,5 ,-5 ,-100.0 ,0 ,6 ,-6 ,-100.0 ,0 ,3 ,-3 ,-100.0 ,0.0 ,120.0 ,-120.0 
九州,宮崎県,0 ,2 ,-2 ,-100.0 ,0 ,2 ,-2 ,-100.0 ,0 ,2 ,-2 ,-100.0 ,0.0 ,100.0 ,-100.0 
九州,鹿児島県,5 ,1 ,4 ,400.0 ,4 ,1 ,3 ,300.0 ,4 ,1 ,3 ,300.0 ,80.0 ,100.0 ,-20.0 
九州,沖縄県,2 ,0 ,2 ,0.0 ,1 ,0 ,1 ,0.0 ,1 ,0 ,1 ,0.0 ,50.0 ,0.0 ,50.0 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較　（強制わいせつ）,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率
,都道府県,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％）,"2021年
1～12月","2020年
1～12月",増減ポイント
総数,,4283 ,4154 ,129 ,3.1 ,3868 ,3766 ,102 ,2.7 ,2903 ,2760 ,143 ,5.2 ,90.3 ,90.7 ,-0.4 
北海道,計,147 ,154 ,-7 ,-4.5 ,149 ,131 ,18 ,13.7 ,116 ,95 ,21 ,22.1 ,101.4 ,85.1 ,16.3 
北海道,札幌方面,110 ,110 ,0 ,0.0 ,105 ,101 ,4 ,4.0 ,82 ,70 ,12 ,17.1 ,95.5 ,91.8 ,3.7 
北海道,函館方面,4 ,12 ,-8 ,-66.7 ,3 ,9 ,-6 ,-66.7 ,3 ,6 ,-3 ,-50.0 ,75.0 ,75.0 ,0.0 
北海道,旭川方面,12 ,14 ,-2 ,-14.3 ,15 ,7 ,8 ,114.3 ,14 ,7 ,7 ,100.0 ,125.0 ,50.0 ,75.0 
北海道,釧路方面,17 ,9 ,8 ,88.9 ,21 ,6 ,15 ,250.0 ,13 ,6 ,7 ,116.7 ,123.5 ,66.7 ,56.8 
北海道,北見方面,4 ,9 ,-5 ,-55.6 ,5 ,8 ,-3 ,-37.5 ,4 ,6 ,-2 ,-33.3 ,125.0 ,88.9 ,36.1 
東北,計,262 ,176 ,86 ,48.9 ,209 ,162 ,47 ,29.0 ,140 ,123 ,17 ,13.8 ,79.8 ,92.0 ,-12.2 
東北,青森県,36 ,24 ,12 ,50.0 ,25 ,20 ,5 ,25.0 ,22 ,21 ,1 ,4.8 ,69.4 ,83.3 ,-13.9 
東北,岩手県,27 ,18 ,9 ,50.0 ,20 ,15 ,5 ,33.3 ,14 ,15 ,-1 ,-6.7 ,74.1 ,83.3 ,-9.2 
東北,宮城県,158 ,69 ,89 ,129.0 ,127 ,58 ,69 ,119.0 ,70 ,41 ,29 ,70.7 ,80.4 ,84.1 ,-3.7 
東北,秋田県,15 ,13 ,2 ,15.4 ,15 ,14 ,1 ,7.1 ,15 ,9 ,6 ,66.7 ,100.0 ,107.7 ,-7.7 
東北,山形県,13 ,20 ,-7 ,-35.0 ,14 ,22 ,-8 ,-36.4 ,11 ,15 ,-4 ,-26.7 ,107.7 ,110.0 ,-2.3 
東北,福島県,13 ,32 ,-19 ,-59.4 ,8 ,33 ,-25 ,-75.8 ,8 ,22 ,-14 ,-63.6 ,61.5 ,103.1 ,-41.6 
東京都,,564 ,547 ,17 ,3.1 ,559 ,528 ,31 ,5.9 ,436 ,406 ,30 ,7.4 ,99.1 ,96.5 ,2.6 
関東,計,1274 ,1164 ,110 ,9.5 ,1142 ,1036 ,106 ,10.2 ,764 ,723 ,41 ,5.7 ,89.6 ,89.0 ,0.6 
関東,茨城県,115 ,93 ,22 ,23.7 ,95 ,68 ,27 ,39.7 ,50 ,44 ,6 ,13.6 ,82.6 ,73.1 ,9.5 
関東,栃木県,42 ,30 ,12 ,40.0 ,41 ,26 ,15 ,57.7 ,29 ,21 ,8 ,38.1 ,97.6 ,86.7 ,10.9 
関東,群馬県,45 ,38 ,7 ,18.4 ,47 ,36 ,11 ,30.6 ,35 ,28 ,7 ,25.0 ,104.4 ,94.7 ,9.7 
関東,埼玉県,342 ,275 ,67 ,24.4 ,328 ,264 ,64 ,24.2 ,234 ,186 ,48 ,25.8 ,95.9 ,96.0 ,-0.1 
関東,千葉県,206 ,207 ,-1 ,-0.5 ,174 ,184 ,-10 ,-5.4 ,118 ,131 ,-13 ,-9.9 ,84.5 ,88.9 ,-4.4 
関東,神奈川県,305 ,322 ,-17 ,-5.3 ,273 ,293 ,-20 ,-6.8 ,162 ,188 ,-26 ,-13.8 ,89.5 ,91.0 ,-1.5 
関東,新潟県,43 ,40 ,3 ,7.5 ,39 ,32 ,7 ,21.9 ,35 ,27 ,8 ,29.6 ,90.7 ,80.0 ,10.7 
関東,山梨県,12 ,15 ,-3 ,-20.0 ,9 ,19 ,-10 ,-52.6 ,9 ,11 ,-2 ,-18.2 ,75.0 ,126.7 ,-51.7 
関東,長野県,38 ,46 ,-8 ,-17.4 ,32 ,34 ,-2 ,-5.9 ,19 ,22 ,-3 ,-13.6 ,84.2 ,73.9 ,10.3 
関東,静岡県,126 ,98 ,28 ,28.6 ,104 ,80 ,24 ,30.0 ,73 ,65 ,8 ,12.3 ,82.5 ,81.6 ,0.9 
中部,計,411 ,398 ,13 ,3.3 ,367 ,357 ,10 ,2.8 ,296 ,275 ,21 ,7.6 ,89.3 ,89.7 ,-0.4 
中部,富山県,17 ,20 ,-3 ,-15.0 ,15 ,16 ,-1 ,-6.3 ,14 ,16 ,-2 ,-12.5 ,88.2 ,80.0 ,8.2 
中部,石川県,27 ,30 ,-3 ,-10.0 ,25 ,32 ,-7 ,-21.9 ,24 ,23 ,1 ,4.3 ,92.6 ,106.7 ,-14.1 
中部,福井県,22 ,22 ,0 ,0.0 ,22 ,22 ,0 ,0.0 ,15 ,18 ,-3 ,-16.7 ,100.0 ,100.0 ,0.0 
中部,岐阜県,48 ,46 ,2 ,4.3 ,51 ,34 ,17 ,50.0 ,35 ,26 ,9 ,34.6 ,106.3 ,73.9 ,32.4 
中部,愛知県,253 ,253 ,0 ,0.0 ,218 ,229 ,-11 ,-4.8 ,180 ,173 ,7 ,4.0 ,86.2 ,90.5 ,-4.3 
中部,三重県,44 ,27 ,17 ,63.0 ,36 ,24 ,12 ,50.0 ,28 ,19 ,9 ,47.4 ,81.8 ,88.9 ,-7.1 
近畿,計,947 ,1050 ,-103 ,-9.8 ,836 ,910 ,-74 ,-8.1 ,651 ,656 ,-5 ,-0.8 ,88.3 ,86.7 ,1.6 
近畿,滋賀県,58 ,44 ,14 ,31.8 ,41 ,40 ,1 ,2.5 ,30 ,20 ,10 ,50.0 ,70.7 ,90.9 ,-20.2 
近畿,京都府,68 ,121 ,-53 ,-43.8 ,77 ,90 ,-13 ,-14.4 ,61 ,58 ,3 ,5.2 ,113.2 ,74.4 ,38.8 
近畿,大阪府,508 ,521 ,-13 ,-2.5 ,418 ,457 ,-39 ,-8.5 ,332 ,332 ,0 ,0.0 ,82.3 ,87.7 ,-5.4 
近畿,兵庫県,269 ,284 ,-15 ,-5.3 ,257 ,246 ,11 ,4.5 ,190 ,189 ,1 ,0.5 ,95.5 ,86.6 ,8.9 
近畿,奈良県,28 ,57 ,-29 ,-50.9 ,28 ,50 ,-22 ,-44.0 ,24 ,34 ,-10 ,-29.4 ,100.0 ,87.7 ,12.3 
近畿,和歌山県,16 ,23 ,-7 ,-30.4 ,15 ,27 ,-12 ,-44.4 ,14 ,23 ,-9 ,-39.1 ,93.8 ,117.4 ,-23.6 
中国,計,185 ,190 ,-5 ,-2.6 ,181 ,185 ,-4 ,-2.2 ,150 ,137 ,13 ,9.5 ,97.8 ,97.4 ,0.4 
中国,鳥取県,17 ,14 ,3 ,21.4 ,13 ,16 ,-3 ,-18.8 ,13 ,10 ,3 ,30.0 ,76.5 ,114.3 ,-37.8 
中国,島根県,12 ,16 ,-4 ,-25.0 ,14 ,13 ,1 ,7.7 ,12 ,7 ,5 ,71.4 ,116.7 ,81.3 ,35.4 
中国,岡山県,43 ,44 ,-1 ,-2.3 ,42 ,45 ,-3 ,-6.7 ,37 ,37 ,0 ,0.0 ,97.7 ,102.3 ,-4.6 
中国,広島県,87 ,87 ,0 ,0.0 ,86 ,80 ,6 ,7.5 ,63 ,57 ,6 ,10.5 ,98.9 ,92.0 ,6.9 
中国,山口県,26 ,29 ,-3 ,-10.3 ,26 ,31 ,-5 ,-16.1 ,25 ,26 ,-1 ,-3.8 ,100.0 ,106.9 ,-6.9 
四国,計,87 ,98 ,-11 ,-11.2 ,87 ,94 ,-7 ,-7.4 ,69 ,72 ,-3 ,-4.2 ,100.0 ,95.9 ,4.1 
四国,徳島県,14 ,10 ,4 ,40.0 ,11 ,10 ,1 ,10.0 ,6 ,7 ,-1 ,-14.3 ,78.6 ,100.0 ,-21.4 
四国,香川県,29 ,36 ,-7 ,-19.4 ,28 ,40 ,-12 ,-30.0 ,27 ,30 ,-3 ,-10.0 ,96.6 ,111.1 ,-14.5 
四国,愛媛県,28 ,29 ,-1 ,-3.4 ,31 ,24 ,7 ,29.2 ,21 ,17 ,4 ,23.5 ,110.7 ,82.8 ,27.9 
四国,高知県,16 ,23 ,-7 ,-30.4 ,17 ,20 ,-3 ,-15.0 ,15 ,18 ,-3 ,-16.7 ,106.3 ,87.0 ,19.3 
九州,計,406 ,377 ,29 ,7.7 ,338 ,363 ,-25 ,-6.9 ,281 ,273 ,8 ,2.9 ,83.3 ,96.3 ,-13.0 
九州,福岡県,191 ,173 ,18 ,10.4 ,157 ,171 ,-14 ,-8.2 ,126 ,125 ,1 ,0.8 ,82.2 ,98.8 ,-16.6 
九州,佐賀県,17 ,17 ,0 ,0.0 ,12 ,18 ,-6 ,-33.3 ,11 ,20 ,-9 ,-45.0 ,70.6 ,105.9 ,-35.3 
九州,長崎県,23 ,29 ,-6 ,-20.7 ,19 ,30 ,-11 ,-36.7 ,20 ,20 ,0 ,0.0 ,82.6 ,103.4 ,-20.8 
九州,熊本県,52 ,44 ,8 ,18.2 ,46 ,34 ,12 ,35.3 ,42 ,29 ,13 ,44.8 ,88.5 ,77.3 ,11.2 
九州,大分県,24 ,17 ,7 ,41.2 ,20 ,16 ,4 ,25.0 ,15 ,13 ,2 ,15.4 ,83.3 ,94.1 ,-10.8 
九州,宮崎県,21 ,28 ,-7 ,-25.0 ,13 ,26 ,-13 ,-50.0 ,13 ,13 ,0 ,0.0 ,61.9 ,92.9 ,-31.0 
九州,鹿児島県,35 ,30 ,5 ,16.7 ,32 ,25 ,7 ,28.0 ,23 ,16 ,7 ,43.8 ,91.4 ,83.3 ,8.1 
九州,沖縄県,43 ,39 ,4 ,10.3 ,39 ,43 ,-4 ,-9.3 ,31 ,37 ,-6 ,-16.2 ,90.7 ,110.3 ,-19.6 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
第６表,,,重要犯罪・重要窃盗犯　都道府県別　認知・検挙件数・検挙人員　対前年比較　（重要窃盗犯総数）,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙人員,検挙人員,検挙人員,検挙人員,検挙率,検挙率,検挙率
,都道府県,"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％),"2021年
1～12月","2020年
1～12月",増減,増減率(％）,"2021年
1～12月","2020年
1～12月",増減ポイント
総数,,44076 ,51604 ,-7528 ,-14.6 ,32177 ,36244 ,-4067 ,-11.2 ,6294 ,7000 ,-706 ,-10.1 ,73.0 ,70.2 ,2.8 
北海道,計,1240 ,1469 ,-229 ,-15.6 ,1259 ,1294 ,-35 ,-2.7 ,228 ,264 ,-36 ,-13.6 ,101.5 ,88.1 ,13.4 
北海道,札幌方面,893 ,888 ,5 ,0.6 ,890 ,784 ,106 ,13.5 ,137 ,160 ,-23 ,-14.4 ,99.7 ,88.3 ,11.4 
北海道,函館方面,82 ,132 ,-50 ,-37.9 ,51 ,151 ,-100 ,-66.2 ,24 ,25 ,-1 ,-4.0 ,62.2 ,114.4 ,-52.2 
北海道,旭川方面,112 ,210 ,-98 ,-46.7 ,87 ,157 ,-70 ,-44.6 ,24 ,32 ,-8 ,-25.0 ,77.7 ,74.8 ,2.9 
北海道,釧路方面,109 ,182 ,-73 ,-40.1 ,186 ,153 ,33 ,21.6 ,30 ,32 ,-2 ,-6.3 ,170.6 ,84.1 ,86.5 
北海道,北見方面,44 ,57 ,-13 ,-22.8 ,45 ,49 ,-4 ,-8.2 ,13 ,15 ,-2 ,-13.3 ,102.3 ,86.0 ,16.3 
東北,計,3006 ,3955 ,-949 ,-24.0 ,2132 ,2917 ,-785 ,-26.9 ,389 ,445 ,-56 ,-12.6 ,70.9 ,73.8 ,-2.9 
東北,青森県,276 ,382 ,-106 ,-27.7 ,219 ,370 ,-151 ,-40.8 ,72 ,90 ,-18 ,-20.0 ,79.3 ,96.9 ,-17.6 
